,location,total_sqft,bath,balcony,price,bedrooms
704,Ahmedabad,3727.14,4,1,114.8,4
705,Hyderabad,2062.1,4,0,226.19,1
706,Delhi,4890.9,4,0,254.46,2
708,Ahmedabad,433.03,3,1,177.68,1
709,Pune,3817.37,4,2,143.92,2
710,Delhi,1738.62,3,2,235.99,4
711,Chennai,3422.86,4,0,181.07,3
712,Hyderabad,3036.66,2,3,90.32,1
713,Bangalore,4758.95,1,1,53.92,2
714,Kolkata,4334.65,2,2,410.22,4
715,Pune,2914.11,1,3,120.66,4
716,Delhi,3536.8,2,3,429.22,3
717,Hyderabad,3436.43,3,3,52.75,2
718,Bangalore,2060.24,4,0,481.29,3
719,Bangalore,4067.73,3,1,177.68,1
720,Hyderabad,3861.28,2,2,62.08,1
721,Chennai,4042.71,3,3,181.6,2
722,Delhi,3596.36,4,0,452.52,1
723,Delhi,1782.73,1,0,41.99,1
724,Bangalore,4663.73,4,1,437.54,4
725,Pune,3204.27,1,3,129.05,2
726,Hyderabad,1119.41,1,1,422.77,2
727,Kolkata,3604.03,1,3,376.42,1
728,Bangalore,1317.9,2,3,279.79,1
729,Delhi,665.77,1,3,12.09,2
730,Delhi,1052.74,1,0,147.25,2
731,Delhi,2971.78,4,0,352.52,3
732,Hyderabad,2307.5,2,0,184.69,1
733,Hyderabad,4630.02,2,0,292.14,1
736,Delhi,3426.97,2,2,239.76,2
737,Hyderabad,1019.45,1,0,292.22,2
738,Bangalore,2009.37,3,3,317.16,2
739,Chennai,1799.83,2,1,160.02,3
740,Bangalore,1044.7,2,0,306.99,1
741,Delhi,3145.04,4,1,205.51,1
742,Kolkata,1840.74,1,0,153.6,1
743,Ahmedabad,4936.91,2,0,283.32,1
744,Bangalore,2727.12,3,2,118.0,2
745,Delhi,928.83,1,3,267.06,2
746,Bangalore,3937.33,2,2,233.31,1
747,Chennai,1756.99,2,1,275.28,3
749,Chennai,2862.82,2,1,328.22,3
750,Bangalore,1657.12,4,2,318.23,3
751,Chennai,650.54,3,2,159.08,1
752,Mumbai,413.88,4,3,170.62,1
753,Delhi,3720.49,3,0,332.23,2
754,Hyderabad,2110.78,1,2,252.07,2
755,Hyderabad,1296.37,1,1,317.47,4
756,Hyderabad,1890.31,4,2,125.65,1
757,Pune,699.76,2,1,423.14,2
758,Ahmedabad,2474.5,4,3,137.12,1
759,Bangalore,2376.81,2,1,261.86,2
760,Bangalore,2626.83,3,0,394.9,2
761,Hyderabad,405.88,2,2,324.35,1
762,Delhi,747.16,2,2,431.68,1
763,Kolkata,3485.62,2,1,116.06,1
764,Ahmedabad,1017.56,1,0,460.61,1
765,Chennai,3058.51,3,2,274.24,2
766,Pune,3274.12,4,2,119.0,3
767,Bangalore,4694.0,2,3,464.5,4
768,Bangalore,1202.08,2,0,447.98,2
769,Delhi,4228.64,4,0,379.18,2
770,Kolkata,3743.98,2,0,94.67,3
771,Kolkata,4404.89,3,3,352.91,2
772,Chennai,2906.51,2,1,396.02,1
773,Hyderabad,4188.7,1,0,291.07,3
775,Bangalore,2750.94,4,0,239.22,1
776,Pune,4793.63,4,1,102.54,2
777,Ahmedabad,3414.12,2,2,299.58,1
778,Delhi,1194.85,2,1,204.66,1
779,Pune,1761.72,4,0,277.73,4
780,Pune,4703.62,1,3,472.44,3
781,Bangalore,2695.73,3,2,163.39,1
782,Mumbai,3026.13,3,1,386.13,2
783,Kolkata,3895.68,1,0,411.1,4
784,Kolkata,3790.11,4,3,306.57,3
785,Kolkata,3797.01,4,1,395.03,3
787,Kolkata,4209.54,1,2,446.31,2
788,Chennai,3316.69,2,0,358.31,2
789,Ahmedabad,2423.59,1,1,37.92,2
790,Kolkata,2243.85,4,3,34.72,4
792,Ahmedabad,746.43,2,3,155.65,1
793,Mumbai,4895.75,4,3,490.49,1
795,Bangalore,1682.21,2,3,454.05,3
796,Bangalore,4607.91,1,2,146.59,1
798,Chennai,1887.47,2,1,403.15,2
799,Kolkata,3726.65,4,3,39.79,1
800,Kolkata,2859.74,2,0,205.93,1
801,Hyderabad,3046.74,1,2,183.96,1
802,Pune,4832.72,3,1,126.09,1
803,Pune,985.9,1,0,324.19,1
804,Kolkata,4464.89,3,1,203.17,4
805,Delhi,2105.76,4,1,86.79,3
806,Delhi,4601.73,3,1,127.86,1
807,Bangalore,2594.75,4,2,345.81,2
808,Chennai,4660.98,2,1,214.1,1
809,Kolkata,881.68,3,2,362.27,1
810,Mumbai,3741.58,1,2,269.04,4
812,Ahmedabad,2479.73,3,1,153.25,4
813,Chennai,1722.45,2,2,223.63,2
814,Kolkata,1400.28,3,1,101.64,1
815,Delhi,4245.95,3,3,188.68,1
816,Ahmedabad,4220.52,3,1,86.58,2
817,Pune,1999.03,3,1,38.37,2
818,Ahmedabad,4523.08,2,2,380.96,2
819,Ahmedabad,3280.16,2,2,359.5,2
820,Mumbai,4879.98,1,3,372.01,1
821,Bangalore,1569.36,4,1,318.96,1
822,Ahmedabad,4695.75,3,2,87.63,1
823,Mumbai,2399.76,4,1,82.61,4
824,Pune,4713.26,2,0,469.08,2
825,Kolkata,4476.69,4,2,112.5,3
826,Bangalore,598.91,3,0,393.13,1
827,Ahmedabad,4293.18,3,0,327.68,1
828,Mumbai,3319.93,4,0,307.04,1
829,Mumbai,3500.43,2,2,35.04,3
830,Kolkata,2266.9,1,0,79.47,1
831,Mumbai,1986.25,3,1,101.42,2
832,Mumbai,2412.52,2,3,441.6,1
834,Chennai,1116.5,2,3,87.25,2
835,Hyderabad,2964.46,1,0,229.83,2
836,Ahmedabad,2753.2,3,3,87.05,4
837,Mumbai,3431.33,1,0,473.58,3
838,Pune,3542.03,4,0,318.64,2
839,Chennai,4155.94,3,0,373.91,2
841,Mumbai,3504.35,2,1,353.54,1
842,Bangalore,4114.16,2,1,125.26,2
843,Pune,2489.75,2,1,499.97,3
844,Ahmedabad,1716.31,1,1,398.54,1
845,Bangalore,337.96,3,1,82.48,1
846,Mumbai,2691.2,2,1,124.2,4
847,Hyderabad,845.84,2,0,378.12,1
849,Pune,4011.14,3,0,200.49,1
850,Kolkata,3298.31,1,2,75.8,1
851,Ahmedabad,4392.81,3,1,81.46,4
852,Ahmedabad,1343.65,2,3,448.59,1
853,Pune,4148.92,4,2,341.96,1
854,Kolkata,2531.12,1,0,217.62,2
855,Kolkata,4719.69,2,2,254.66,2
856,Pune,591.54,2,2,377.33,1
857,Chennai,2603.23,1,3,498.41,4
858,Pune,4217.93,4,1,364.25,2
859,Mumbai,2881.36,2,2,248.8,1
860,Bangalore,1209.07,4,0,195.83,2
862,Delhi,606.89,1,2,253.09,1
863,Pune,4316.17,1,2,424.04,2
864,Chennai,2687.2,2,0,388.82,2
865,Delhi,4838.11,3,0,465.99,2
866,Bangalore,1937.85,2,1,125.16,2
867,Delhi,4073.5,1,2,239.97,4
868,Pune,4279.43,3,3,48.05,2
869,Ahmedabad,2916.32,2,3,106.36,2
870,Pune,2141.52,3,1,326.31,2
872,Chennai,4061.9,1,0,100.45,4
873,Ahmedabad,3624.31,4,2,348.65,3
874,Kolkata,2717.57,2,3,370.5,2
875,Chennai,3284.07,4,3,383.13,2
876,Pune,3163.31,3,2,78.88,1
877,Mumbai,3523.08,2,1,175.32,3
878,Kolkata,2593.11,2,1,112.1,3
879,Mumbai,2664.38,3,2,242.9,4
880,Pune,3856.23,1,1,55.28,4
881,Bangalore,4440.68,3,2,215.94,2
883,Mumbai,955.76,3,0,202.39,1
884,Mumbai,2001.6,3,3,339.97,2
885,Ahmedabad,4843.83,3,0,305.16,2
886,Ahmedabad,3780.97,4,3,423.24,1
888,Pune,2483.17,3,0,144.57,1
889,Ahmedabad,1930.04,1,0,72.77,1
890,Ahmedabad,3719.77,4,1,332.82,2
892,Hyderabad,4344.42,4,3,447.99,1
893,Pune,2981.95,4,1,91.4,2
894,Bangalore,2369.18,1,2,341.08,1
895,Kolkata,662.59,1,3,164.37,1
896,Hyderabad,1759.71,1,0,248.89,2
897,Bangalore,2206.82,4,1,212.02,4
898,Chennai,1631.12,1,0,16.39,1
900,Bangalore,1111.45,1,1,360.94,2
903,Chennai,4923.65,4,3,299.26,4
904,Kolkata,3578.97,2,3,329.41,3
905,Hyderabad,3292.71,4,0,453.02,2
906,Hyderabad,3121.57,2,1,402.09,2
907,Hyderabad,1280.45,1,1,214.11,2
908,Pune,3574.7,2,3,432.89,2
909,Mumbai,3595.53,4,2,59.18,4
912,Mumbai,3160.78,1,2,120.37,3
913,Chennai,3976.58,1,0,148.33,1
914,Chennai,4766.82,2,3,206.05,1
915,Delhi,3738.3,2,1,441.9,4
916,Chennai,3575.41,3,2,108.61,4
917,Kolkata,3617.57,3,0,466.7,1
918,Chennai,4504.48,2,2,63.91,1
919,Kolkata,2933.35,4,0,422.02,1
920,Ahmedabad,901.3,1,3,132.08,2
922,Hyderabad,3339.51,3,3,242.35,3
923,Kolkata,1521.12,4,2,127.37,2
924,Kolkata,1929.5,4,1,301.64,4
925,Mumbai,4356.5,4,1,307.16,3
926,Bangalore,2766.02,3,2,156.79,1
927,Chennai,762.36,3,0,69.0,2
929,Pune,1369.59,3,0,481.07,1
930,Hyderabad,1266.29,4,0,379.01,1
931,Delhi,3322.54,1,3,178.17,1
932,Delhi,4975.72,4,0,475.11,4
933,Kolkata,910.52,4,3,75.66,2
934,Ahmedabad,3838.43,1,1,125.83,2
935,Hyderabad,644.24,3,3,55.26,2
936,Ahmedabad,2753.72,2,2,174.12,3
937,Chennai,2418.27,2,3,369.43,1
938,Bangalore,3386.21,3,0,158.0,2
939,Chennai,2773.85,4,2,317.78,2
940,Mumbai,3749.28,4,3,459.92,3
941,Bangalore,3422.39,3,1,100.34,2
942,Hyderabad,3120.09,3,1,196.5,1
943,Pune,2618.6,1,1,111.86,1
944,Delhi,3768.68,4,2,341.58,3
945,Bangalore,2151.02,4,3,35.15,4
946,Chennai,1623.27,4,2,44.17,1
947,Hyderabad,813.85,3,3,298.69,1
948,Mumbai,3043.66,3,2,31.09,3
949,Chennai,4289.99,1,3,174.83,3
950,Bangalore,4844.41,3,1,233.2,1
951,Kolkata,4038.29,2,3,83.82,3
952,Ahmedabad,3417.29,4,0,102.89,3
953,Bangalore,1604.0,4,0,92.4,2
955,Bangalore,2402.04,3,2,55.32,3
957,Bangalore,1345.24,1,3,413.87,2
958,Mumbai,3692.71,1,1,271.99,1
959,Pune,2226.23,3,2,144.89,1
960,Kolkata,4919.01,3,1,410.17,2
963,Bangalore,2397.03,2,1,40.47,2
964,Mumbai,2504.14,4,1,472.67,3
965,Mumbai,3657.89,1,0,77.03,2
966,Hyderabad,2874.24,3,3,350.23,1
967,Delhi,4742.78,1,1,330.14,2
968,Mumbai,674.71,1,2,260.53,2
969,Kolkata,4662.04,3,3,445.21,2
970,Delhi,669.66,3,2,134.07,1
971,Hyderabad,3443.19,2,1,113.01,3
972,Hyderabad,1774.18,3,1,245.67,2
973,Delhi,4313.18,3,1,219.6,2
974,Chennai,4434.71,2,2,55.82,4
976,Kolkata,1683.35,1,1,84.72,1
977,Chennai,2831.78,4,2,113.16,4
978,Delhi,3587.89,1,0,473.05,4
979,Pune,3655.62,1,1,434.97,1
981,Kolkata,2682.39,2,0,390.98,4
982,Pune,2135.51,4,2,176.27,2
983,Pune,4612.01,2,1,415.34,1
985,Pune,2322.04,3,3,469.47,3
986,Hyderabad,1587.07,4,2,245.92,1
987,Bangalore,4681.08,3,1,208.38,2
988,Delhi,3711.71,3,0,338.71,3
989,Chennai,2581.91,2,2,407.15,1
990,Ahmedabad,1959.9,1,2,76.33,1
991,Bangalore,2512.34,3,3,466.62,3
992,Mumbai,4944.67,1,0,223.91,2
993,Mumbai,3554.48,4,3,422.29,3
994,Chennai,4882.06,3,0,355.28,2
995,Chennai,3733.42,1,0,190.86,2
996,Delhi,3270.39,3,0,220.95,3
997,Delhi,1722.02,2,3,363.75,1
999,Chennai,1441.11,3,0,222.24,4
1001,Chennai,4707.83,4,0,232.66,1
1002,Pune,4056.18,3,0,176.21,1
1003,Pune,2440.98,1,3,326.92,2
1004,Mumbai,2231.08,1,2,374.04,1
1005,Ahmedabad,1469.3,4,1,178.23,1
1007,Mumbai,3729.26,2,1,458.39,2
1008,Pune,4658.04,1,2,471.15,1
1009,Kolkata,4565.92,4,3,464.36,1
1010,Kolkata,814.29,4,0,264.28,2
1011,Bangalore,1867.49,3,0,80.14,2
1012,Pune,819.12,3,0,353.35,1
1014,Pune,3499.84,4,1,190.23,4
1015,Pune,4263.95,4,2,382.95,1
1016,Hyderabad,4572.95,1,3,151.56,2
1017,Bangalore,1408.99,4,1,398.29,4
1018,Bangalore,2949.49,2,3,135.29,1
1019,Ahmedabad,1581.23,1,3,215.33,1
1020,Kolkata,3181.21,3,1,214.3,2
1021,Bangalore,1022.78,3,2,153.96,2
1022,Ahmedabad,2454.13,4,2,148.19,3
1023,Ahmedabad,1131.42,2,3,33.43,1
1024,Hyderabad,2081.37,3,0,275.6,4
1025,Pune,3814.46,4,1,164.75,2
1026,Pune,3525.35,3,0,334.44,3
1028,Ahmedabad,2524.36,2,2,119.28,1
1030,Pune,4756.01,4,0,74.86,1
1031,Kolkata,4740.99,1,1,57.93,1
1032,Chennai,1198.92,3,3,320.35,3
1033,Chennai,1642.02,2,3,93.09,1
1034,Mumbai,2785.31,3,3,359.93,2
1035,Delhi,3095.81,3,3,404.82,1
1036,Ahmedabad,3873.05,3,0,40.28,2
1037,Chennai,2285.17,4,0,224.1,4
1038,Mumbai,1344.71,3,3,443.35,3
1039,Chennai,4446.69,1,1,384.04,4
1040,Hyderabad,3666.77,2,3,278.64,1
1041,Delhi,888.17,4,2,378.48,1
1042,Kolkata,3386.61,3,1,310.78,2
1044,Chennai,2907.08,1,2,339.78,1
1045,Kolkata,3354.4,1,1,303.9,4
1046,Bangalore,2836.27,1,3,165.66,4
1047,Hyderabad,4004.86,1,2,71.19,3
1049,Chennai,1308.6,4,3,214.83,2
1050,Ahmedabad,3891.92,4,3,174.98,2
1051,Chennai,3587.17,2,1,204.91,2
1052,Ahmedabad,3765.97,1,3,136.74,1
1053,Hyderabad,2831.67,3,1,494.94,1
1054,Delhi,3131.74,1,0,230.48,3
1055,Chennai,1643.86,3,1,131.66,3
1056,Bangalore,2591.51,3,1,496.0,2
1057,Chennai,3629.77,2,3,320.88,2
1059,Chennai,3876.39,4,2,247.37,4
1060,Delhi,562.7,3,2,159.09,1
1061,Chennai,3585.84,3,0,161.96,4
1062,Delhi,1717.14,2,3,421.4,3
1063,Hyderabad,1887.92,1,1,220.74,3
1064,Bangalore,725.01,1,0,166.58,2
1065,Bangalore,1539.2,1,2,207.81,3
1066,Hyderabad,4343.38,2,2,385.38,4
1067,Bangalore,1493.14,1,1,233.79,1
1068,Delhi,2275.89,4,0,401.44,1
1070,Delhi,408.6,3,2,272.93,1
1071,Bangalore,4743.39,1,2,372.56,2
1072,Pune,351.6,4,2,402.28,1
1073,Bangalore,2626.45,3,0,455.61,2
1074,Pune,1162.58,2,3,338.44,3
1075,Hyderabad,709.63,4,2,492.0,1
1076,Delhi,4014.87,1,1,213.89,1
1077,Pune,1901.51,3,2,368.83,1
1080,Delhi,4158.47,3,1,93.32,2
1081,Chennai,1111.86,4,3,427.18,3
1083,Bangalore,4024.99,3,2,339.52,1
1084,Kolkata,3543.38,1,0,147.47,4
1085,Mumbai,3055.02,4,0,30.9,1
1086,Chennai,1117.55,3,0,385.18,2
1087,Mumbai,766.68,3,1,147.8,2
1089,Ahmedabad,452.86,1,1,478.37,1
1090,Kolkata,4544.94,4,1,219.85,1
1091,Delhi,907.78,4,2,228.81,3
1092,Mumbai,4108.52,3,2,430.02,1
1093,Hyderabad,718.37,1,3,492.06,2
1094,Pune,4915.13,4,1,390.48,1
1095,Bangalore,993.29,2,3,95.17,1
1096,Delhi,4998.86,1,3,116.16,3
1097,Hyderabad,3950.65,3,3,473.44,2
1098,Bangalore,2387.29,3,0,400.1,4
1099,Hyderabad,3008.39,2,3,475.04,1
1100,Chennai,2011.03,3,0,315.95,1
1101,Ahmedabad,1033.56,4,2,436.93,1
1102,Bangalore,4444.69,2,0,444.38,1
1103,Pune,4609.31,3,3,121.02,2
1104,Delhi,4778.31,1,0,230.35,2
1105,Kolkata,3555.58,3,3,167.1,1
1107,Chennai,4407.85,3,0,497.01,3
1108,Pune,4175.78,4,0,121.97,1
1109,Pune,4490.82,2,1,106.21,4
1110,Bangalore,2549.51,1,0,130.68,4
1111,Mumbai,1962.65,1,2,142.04,4
1112,Bangalore,4399.48,2,0,246.58,4
1113,Ahmedabad,4009.42,1,2,215.92,2
1114,Kolkata,1214.12,4,1,283.9,3
1115,Hyderabad,1779.92,2,2,381.35,2
1116,Pune,2191.44,2,1,92.38,3
1117,Chennai,2816.67,2,3,82.36,3
1118,Bangalore,4047.29,2,2,53.26,1
1119,Mumbai,1818.71,4,0,393.4,2
1120,Ahmedabad,2606.73,3,3,387.83,4
1121,Hyderabad,3420.17,1,2,464.18,1
1124,Pune,3089.45,3,0,425.08,1
1125,Hyderabad,3259.29,4,0,172.39,1
1126,Ahmedabad,4286.2,4,0,485.36,2
1127,Delhi,4571.21,2,0,344.65,1
1128,Pune,3183.21,3,2,474.53,2
1129,Mumbai,2855.96,4,1,265.72,2
1130,Pune,752.04,3,1,395.26,1
1131,Delhi,1021.6,2,2,310.38,3
1132,Mumbai,3792.91,2,3,279.71,1
1133,Delhi,3274.02,4,0,159.55,1
1134,Hyderabad,4701.56,4,3,59.35,2
1135,Delhi,646.02,3,2,396.96,2
1136,Ahmedabad,4503.05,1,3,244.35,4
1137,Mumbai,3581.8,3,3,387.61,2
1138,Hyderabad,4625.09,1,1,146.56,3
1139,Bangalore,4444.14,2,2,129.78,1
1140,Bangalore,2556.31,2,0,329.14,3
1141,Kolkata,485.17,3,2,494.48,1
1144,Bangalore,2819.43,2,2,164.52,4
1145,Kolkata,3327.37,3,2,338.72,1
1146,Pune,4177.55,3,1,472.99,1
1147,Mumbai,1235.1,3,1,322.68,3
1148,Mumbai,976.87,4,2,191.99,1
1150,Kolkata,2766.19,1,3,239.61,2
1151,Hyderabad,363.04,1,1,177.16,1
1152,Kolkata,3442.5,2,3,390.91,1
1153,Bangalore,4783.99,3,0,382.56,3
1155,Kolkata,2082.18,4,1,439.98,1
1156,Chennai,3493.89,3,3,187.26,3
1157,Delhi,1157.64,2,1,382.28,1
1159,Mumbai,3691.12,2,1,206.27,2
1160,Kolkata,2267.98,2,0,112.6,1
1162,Pune,4488.29,3,3,456.57,2
1163,Kolkata,1482.77,2,2,324.2,2
1164,Hyderabad,2338.6,2,2,411.75,1
1165,Mumbai,2037.44,1,2,235.48,2
1166,Kolkata,2983.9,1,2,127.15,3
1168,Hyderabad,4392.07,1,2,46.0,3
1169,Bangalore,991.87,4,3,286.21,1
1170,Mumbai,4231.62,4,1,433.04,3
1171,Ahmedabad,1836.27,2,3,109.96,3
1172,Mumbai,2712.37,1,1,248.87,2
1173,Bangalore,3491.24,2,1,136.14,4
1174,Kolkata,3426.57,3,2,166.17,1
1175,Delhi,1729.49,3,1,194.18,2
1176,Hyderabad,4478.38,1,1,67.58,1
1177,Bangalore,2765.96,1,3,29.71,4
1178,Hyderabad,881.75,3,0,167.21,1
1179,Chennai,3701.91,3,3,401.49,4
1180,Chennai,2941.55,1,2,217.67,1
1181,Ahmedabad,3762.67,3,1,296.91,2
1182,Bangalore,4022.72,1,3,57.0,1
1183,Pune,1207.66,4,1,269.86,2
1184,Bangalore,2986.39,1,1,253.2,2
1185,Pune,3919.45,4,1,67.42,2
1186,Hyderabad,2895.0,4,1,454.09,4
1187,Ahmedabad,4935.77,4,3,338.62,2
1188,Chennai,2692.56,4,2,141.44,1
1189,Mumbai,2693.62,2,2,252.74,1
1191,Hyderabad,653.85,4,3,467.22,1
1192,Delhi,3670.06,2,2,468.14,2
1193,Delhi,4004.12,4,0,243.04,1
1194,Bangalore,1361.78,1,1,239.19,2
1196,Chennai,1634.94,4,1,377.4,2
1197,Pune,418.02,2,3,444.99,1
1198,Delhi,2187.96,3,2,181.86,3
1199,Chennai,2148.26,1,0,405.4,2
1200,Hyderabad,4394.44,3,1,147.98,2
1201,Kolkata,2534.58,3,1,246.1,3
1202,Pune,4517.94,2,1,286.27,3
1203,Chennai,2520.05,2,1,196.77,4
1204,Pune,1985.65,2,0,208.97,1
1205,Delhi,4435.9,3,1,344.05,2
1206,Pune,3736.71,1,1,187.35,4
1207,Pune,1391.74,1,1,163.88,3
1208,Hyderabad,2375.11,3,0,498.14,2
1210,Delhi,925.62,1,2,154.66,3
1211,Ahmedabad,3329.41,3,2,203.82,2
1212,Delhi,863.42,4,2,107.2,2
1213,Delhi,4240.37,4,3,115.47,4
1214,Delhi,3952.88,3,1,134.62,4
1215,Pune,1633.05,3,3,438.61,3
1216,Ahmedabad,3177.74,3,3,169.77,3
1217,Mumbai,606.64,2,0,404.84,2
1218,Bangalore,2565.74,2,0,441.7,1
1219,Hyderabad,3861.03,4,2,60.93,1
1220,Kolkata,2600.32,1,1,378.48,2
1221,Kolkata,4013.4,2,3,452.17,1
1222,Delhi,2731.06,2,3,47.29,1
1223,Chennai,4235.84,4,3,206.11,4
1224,Ahmedabad,4820.27,1,3,388.94,1
1225,Pune,1941.67,3,1,195.0,2
1226,Pune,4822.53,2,0,407.9,1
1227,Chennai,4738.8,1,1,186.11,1
1230,Pune,3364.95,3,3,388.44,1
1231,Hyderabad,1270.63,4,0,189.74,2
1233,Ahmedabad,881.92,4,1,358.65,2
1234,Bangalore,3274.39,3,2,311.73,1
1235,Pune,1860.15,2,3,148.62,3
1236,Chennai,4037.43,1,1,492.11,1
1237,Bangalore,2759.99,2,3,326.06,2
1238,Delhi,2365.39,1,0,492.45,2
1239,Bangalore,502.3,4,1,467.07,1
1240,Ahmedabad,3843.06,1,2,228.33,3
1241,Pune,616.44,3,1,215.47,2
1242,Chennai,2148.67,1,2,188.46,4
1243,Bangalore,1693.83,2,3,251.15,2
1244,Kolkata,3470.19,3,2,298.7,2
1245,Chennai,2441.35,2,3,389.59,1
1246,Mumbai,4943.21,2,0,191.28,3
1247,Delhi,3575.83,1,2,274.98,3
1248,Hyderabad,3972.5,3,1,457.53,1
1249,Bangalore,3124.03,1,3,417.55,1
1250,Bangalore,4319.76,3,1,344.59,2
1251,Hyderabad,1776.89,1,2,470.06,1
1253,Bangalore,1361.8,2,3,173.64,1
1254,Chennai,3350.9,1,0,93.36,1
1255,Kolkata,4720.93,3,3,390.79,2
1256,Bangalore,1764.76,3,0,24.15,3
1257,Bangalore,1634.32,4,1,63.05,1
1258,Pune,3672.26,4,3,392.81,1
1259,Kolkata,1639.39,4,2,396.23,1
1260,Bangalore,4809.15,2,0,391.91,4
1261,Pune,3051.64,1,2,259.61,4
1262,Chennai,1377.12,1,1,341.11,4
1263,Bangalore,2832.58,4,1,437.89,2
1264,Pune,3455.46,1,1,499.52,2
1265,Chennai,3859.15,3,2,288.67,2
1267,Kolkata,2213.63,3,0,143.95,2
1268,Pune,2623.12,4,3,314.01,3
1269,Ahmedabad,2427.61,1,1,84.38,1
1271,Mumbai,875.12,4,0,405.06,2
1272,Ahmedabad,4719.64,2,1,464.36,4
1273,Ahmedabad,4799.05,1,1,112.0,3
1274,Pune,4676.43,3,0,267.12,1
1275,Ahmedabad,2346.3,1,3,202.46,2
1276,Bangalore,1543.28,4,3,330.27,2
1277,Delhi,2168.88,2,2,46.67,1
1278,Mumbai,1884.89,4,2,205.9,1
1279,Delhi,3355.03,1,2,351.85,1
1280,Kolkata,3492.79,4,1,308.89,4
1281,Kolkata,1187.17,4,1,137.41,1
1282,Pune,2657.81,1,2,324.43,2
1286,Ahmedabad,2679.6,4,0,331.72,3
1287,Mumbai,694.48,4,0,331.79,2
1289,Hyderabad,2884.47,2,0,412.48,2
1291,Bangalore,3417.4,1,0,204.5,4
1292,Ahmedabad,2636.36,1,2,250.24,2
1293,Chennai,4225.13,1,0,259.58,2
1294,Mumbai,1083.79,3,2,357.37,1
1295,Mumbai,3505.64,2,3,418.36,1
1296,Hyderabad,1805.06,1,2,239.6,4
1297,Kolkata,1342.41,4,3,294.75,3
1298,Kolkata,2210.34,1,2,62.0,1
1299,Pune,4731.35,3,2,112.18,1
1301,Chennai,1636.59,1,1,91.79,4
1302,Delhi,3536.21,3,2,297.17,1
1303,Kolkata,3484.67,4,0,402.44,1
1304,Hyderabad,1830.01,4,2,389.01,1
1305,Chennai,3159.19,1,0,42.35,1
1306,Mumbai,1462.48,4,0,358.59,1
1307,Hyderabad,2486.29,4,1,41.83,4
1308,Hyderabad,2308.55,2,2,92.99,1
1311,Delhi,4008.49,3,0,105.47,2
1312,Hyderabad,1851.31,1,2,284.89,2
1313,Delhi,682.73,4,2,331.48,2
1314,Hyderabad,3247.88,3,1,407.28,3
1315,Ahmedabad,2945.2,1,0,73.49,1
1316,Ahmedabad,3415.66,1,3,336.11,4
1317,Delhi,2502.9,2,3,462.11,4
1319,Ahmedabad,2964.77,1,0,71.47,2
1320,Delhi,4087.35,3,3,52.33,1
1321,Mumbai,1290.13,1,2,405.01,2
1322,Ahmedabad,4275.55,2,3,220.0,4
1323,Ahmedabad,4772.53,1,2,61.73,2
1324,Ahmedabad,1907.67,3,0,122.11,2
1325,Bangalore,3675.9,2,2,76.38,3
1326,Delhi,2346.78,2,1,48.14,3
1327,Kolkata,4689.26,2,1,310.27,1
1328,Ahmedabad,1292.81,2,1,260.46,2
1329,Kolkata,4275.13,2,1,301.12,1
1330,Ahmedabad,4187.73,2,1,45.03,2
1331,Hyderabad,2058.43,4,0,319.56,2
1332,Delhi,2915.89,4,3,431.21,1
1333,Delhi,1255.6,3,2,209.47,3
1334,Chennai,4156.47,1,1,134.51,1
1335,Bangalore,1048.92,2,2,378.72,1
1336,Delhi,524.19,4,1,105.23,1
1339,Mumbai,814.41,1,3,153.09,1
1340,Ahmedabad,3981.59,4,2,328.87,1
1341,Delhi,4948.87,2,1,474.85,1
1342,Pune,805.0,4,0,457.93,2
1344,Chennai,3557.96,2,0,354.09,1
1346,Chennai,1215.1,2,3,71.99,3
1347,Bangalore,3421.24,3,0,207.44,1
1349,Mumbai,2667.05,2,3,391.57,1
1350,Kolkata,3160.62,3,2,35.51,2
1352,Hyderabad,790.75,3,1,498.09,1
1353,Bangalore,4015.32,3,3,427.93,2
1354,Pune,2329.97,4,2,253.33,4
1355,Kolkata,1709.37,2,2,298.25,4
1356,Pune,3563.47,2,1,414.68,2
1357,Ahmedabad,2300.83,2,1,351.08,2
1358,Hyderabad,1071.09,3,0,349.63,1
1359,Chennai,4799.22,2,2,372.53,4
1360,Mumbai,4928.83,2,0,483.3,1
1361,Bangalore,2122.12,3,1,285.06,4
1362,Delhi,3328.1,2,0,208.44,1
1363,Mumbai,431.96,2,1,461.82,1
1364,Hyderabad,3208.99,1,1,359.86,3
1365,Mumbai,2326.25,3,3,57.29,1
1366,Mumbai,897.1,4,0,195.17,1
1367,Bangalore,2552.66,1,0,151.15,2
1368,Ahmedabad,1842.62,3,0,246.23,2
1369,Chennai,1317.04,2,3,317.64,1
1370,Pune,1916.98,1,2,369.39,1
1371,Mumbai,3030.07,1,2,71.9,1
1372,Chennai,2727.04,4,0,388.48,2
1373,Kolkata,2636.76,1,3,483.17,1
1375,Pune,1584.04,4,1,321.91,1
1376,Pune,3684.02,3,1,42.96,2
1377,Hyderabad,895.11,1,2,437.12,2
1378,Mumbai,1667.81,1,2,472.87,1
1379,Ahmedabad,2793.57,4,3,198.71,1
1380,Delhi,2308.74,4,1,129.82,2
1381,Kolkata,1229.72,1,2,305.93,4
1382,Ahmedabad,2100.69,2,0,159.81,2
1383,Ahmedabad,3642.21,4,3,449.58,2
1384,Chennai,3852.03,4,1,65.38,3
