area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet Area,Immediate Possession,Bangalore,1 RK,Sunrise Residency,4022.72,1,3,57.0
Built-up Area,Ready To Move,Pune,2 RK,Palm Meadows,1207.66,4,1,269.86
Built-up Area,Under Construction,Bangalore,2 BHK,Green Heights,2986.39,1,1,253.2
Built-up Area,Ready To Move,Pune,2 RK,Palm Meadows,3919.45,4,1,67.42
Built-up Area,Ready To Move,Hyderabad,4 BHK,Skyline View,2895.0,4,1,454.09
Carpet Area,Ready To Move,Ahmedabad,2 RK,Dream Homes,4935.77,4,3,338.62
Built-up Area,Ready To Move,Chennai,1 RK,Oceanic Towers,2692.56,4,2,141.44
Carpet Area,Ready To Move,Mumbai,1 RK,Luxury Enclave,2693.62,2,2,252.74
Plot Area,Ready To Move,Hyderabad,2 RK,Sunrise Residency,336.46,1,0,462.56
Super built-up Area,Under Construction,Hyderabad,1 BHK,Green Heights,653.85,4,3,467.22
Super built-up Area,Under Construction,Delhi,2 BHK,Skyline View,3670.06,2,2,468.14
Plot Area,Ready To Move,Delhi,1 RK,Palm Meadows,4004.12,4,0,243.04
Plot Area,Under Construction,Bangalore,2 RK,Oceanic Towers,1361.78,1,1,239.19
Built-up Area,Ready To Move,Bangalore,2 RK,Luxury Enclave,4901.47,4,0,37.98
Super built-up Area,Under Construction,Chennai,2 BHK,Dream Homes,1634.94,4,1,377.4
Plot Area,Under Construction,Pune,1 RK,Sunrise Residency,418.02,2,3,444.99
Carpet Area,Ready To Move,Delhi,3 BHK,Green Heights,2187.96,3,2,181.86
Plot Area,Immediate Possession,Chennai,2 BHK,Luxury Enclave,2148.26,1,0,405.4
Carpet Area,Under Construction,Hyderabad,2 BHK,Sunrise Residency,4394.44,3,1,147.98
Carpet Area,Ready To Move,Kolkata,3 BHK,Skyline View,2534.58,3,1,246.1
Carpet Area,Under Construction,Pune,3 BHK,Sunrise Residency,4517.94,2,1,286.27
Built-up Area,Immediate Possession,Chennai,4 BHK,Green Heights,2520.05,2,1,196.77
Carpet Area,Ready To Move,Pune,1 RK,Palm Meadows,1985.65,2,0,208.97
Plot Area,Ready To Move,Delhi,2 BHK,Luxury Enclave,4435.9,3,1,344.05
Super built-up Area,Immediate Possession,Pune,4 BHK,Palm Meadows,3736.71,1,1,187.35
Built-up Area,Under Construction,Pune,3 BHK,Oceanic Towers,1391.74,1,1,163.88
Plot Area,Under Construction,Hyderabad,2 BHK,Sunrise Residency,2375.11,3,0,498.14
Plot Area,Ready To Move,Bangalore,4 BHK,Sunrise Residency,858.83,2,2,312.36
Carpet Area,Under Construction,Delhi,3 BHK,Luxury Enclave,925.62,1,2,154.66
Super built-up Area,Immediate Possession,Ahmedabad,2 BHK,Skyline View,3329.41,3,2,203.82
Carpet Area,Under Construction,Delhi,2 RK,Skyline View,863.42,4,2,107.2
Built-up Area,Under Construction,Delhi,4 BHK,Oceanic Towers,4240.37,4,3,115.47
Built-up Area,Under Construction,Delhi,4 BHK,Palm Meadows,3952.88,3,1,134.62
Plot Area,Ready To Move,Pune,3 BHK,Skyline View,1633.05,3,3,438.61
Carpet Area,Under Construction,Ahmedabad,3 BHK,Green Heights,3177.74,3,3,169.77
Built-up Area,Immediate Possession,Mumbai,2 RK,Oceanic Towers,606.64,2,0,404.84
Super built-up Area,Under Construction,Bangalore,1 BHK,Dream Homes,2565.74,2,0,441.7
Built-up Area,Under Construction,Hyderabad,1 RK,Dream Homes,3861.03,4,2,60.93
Super built-up Area,Immediate Possession,Kolkata,2 RK,Palm Meadows,2600.32,1,1,378.48
Super built-up Area,Under Construction,Kolkata,1 BHK,Oceanic Towers,4013.4,2,3,452.17
Built-up Area,Immediate Possession,Delhi,1 BHK,Sunrise Residency,2731.06,2,3,47.29
Super built-up Area,Immediate Possession,Chennai,4 BHK,Oceanic Towers,4235.84,4,3,206.11
Super built-up Area,Immediate Possession,Ahmedabad,1 BHK,Green Heights,4820.27,1,3,388.94
Built-up Area,Immediate Possession,Pune,2 BHK,Luxury Enclave,1941.67,3,1,195.0
Plot Area,Ready To Move,Pune,1 RK,Green Heights,4822.53,2,0,407.9
Built-up Area,Under Construction,Chennai,1 RK,Green Heights,4738.8,1,1,186.11
Built-up Area,Under Construction,Pune,2 RK,Skyline View,456.72,4,3,138.18
Plot Area,Under Construction,Kolkata,4 BHK,Sunrise Residency,855.82,1,0,171.13
Carpet Area,Under Construction,Pune,1 BHK,Palm Meadows,3364.95,3,3,388.44
Plot Area,Under Construction,Hyderabad,2 RK,Skyline View,1270.63,4,0,189.74
Plot Area,Ready To Move,Bangalore,4 BHK,Luxury Enclave,3090.88,1,1,25.74
Super built-up Area,Under Construction,Ahmedabad,2 BHK,Sunrise Residency,881.92,4,1,358.65
Built-up Area,Under Construction,Bangalore,1 BHK,Sunrise Residency,3274.39,3,2,311.73
Built-up Area,Under Construction,Pune,3 BHK,Green Heights,1860.15,2,3,148.62
Built-up Area,Under Construction,Chennai,1 BHK,Dream Homes,4037.43,1,1,492.11
Super built-up Area,Immediate Possession,Bangalore,2 RK,Palm Meadows,2759.99,2,3,326.06
Carpet Area,Under Construction,Delhi,2 RK,Skyline View,2365.39,1,0,492.45
Super built-up Area,Ready To Move,Bangalore,1 BHK,Luxury Enclave,502.3,4,1,467.07
Built-up Area,Immediate Possession,Ahmedabad,3 BHK,Skyline View,3843.06,1,2,228.33
Super built-up Area,Ready To Move,Pune,2 BHK,Oceanic Towers,616.44,3,1,215.47
Plot Area,Immediate Possession,Chennai,4 BHK,Luxury Enclave,2148.67,1,2,188.46
Carpet Area,Ready To Move,Bangalore,2 RK,Skyline View,1693.83,2,3,251.15
Carpet Area,Ready To Move,Kolkata,2 BHK,Luxury Enclave,3470.19,3,2,298.7
Carpet Area,Immediate Possession,Chennai,1 BHK,Green Heights,2441.35,2,3,389.59
Plot Area,Immediate Possession,Mumbai,3 BHK,Palm Meadows,4943.21,2,0,191.28
Super built-up Area,Immediate Possession,Delhi,3 BHK,Skyline View,3575.83,1,2,274.98
Built-up Area,Immediate Possession,Hyderabad,1 BHK,Skyline View,3972.5,3,1,457.53
Carpet Area,Ready To Move,Bangalore,1 BHK,Luxury Enclave,3124.03,1,3,417.55
Carpet Area,Immediate Possession,Bangalore,2 RK,Sunrise Residency,4319.76,3,1,344.59
Super built-up Area,Immediate Possession,Hyderabad,1 BHK,Dream Homes,1776.89,1,2,470.06
Super built-up Area,Under Construction,Pune,1 RK,Palm Meadows,2943.5,1,1,24.36
Plot Area,Ready To Move,Bangalore,1 RK,Luxury Enclave,1361.8,2,3,173.64
Built-up Area,Ready To Move,Chennai,1 BHK,Oceanic Towers,3350.9,1,0,93.36
Carpet Area,Immediate Possession,Kolkata,2 RK,Skyline View,4720.93,3,3,390.79
Super built-up Area,Ready To Move,Bangalore,3 BHK,Oceanic Towers,1764.76,3,0,24.15
Built-up Area,Under Construction,Bangalore,1 RK,Oceanic Towers,1634.32,4,1,63.05
Super built-up Area,Under Construction,Pune,1 RK,Green Heights,3672.26,4,3,392.81
Carpet Area,Immediate Possession,Kolkata,1 RK,Green Heights,1639.39,4,2,396.23
Built-up Area,Under Construction,Bangalore,4 BHK,Palm Meadows,4809.15,2,0,391.91
Carpet Area,Ready To Move,Pune,4 BHK,Oceanic Towers,3051.64,1,2,259.61
Carpet Area,Ready To Move,Chennai,4 BHK,Green Heights,1377.12,1,1,341.11
Super built-up Area,Under Construction,Bangalore,2 BHK,Palm Meadows,2832.58,4,1,437.89
Built-up Area,Under Construction,Pune,2 RK,Dream Homes,3455.46,1,1,499.52
Super built-up Area,Immediate Possession,Chennai,2 BHK,Green Heights,3859.15,3,2,288.67
Carpet Area,Ready To Move,Chennai,1 RK,Green Heights,4175.18,2,3,37.73
Carpet Area,Immediate Possession,Kolkata,2 BHK,Palm Meadows,2213.63,3,0,143.95
Carpet Area,Immediate Possession,Pune,3 BHK,Oceanic Towers,2623.12,4,3,314.01
Built-up Area,Under Construction,Ahmedabad,1 BHK,Green Heights,2427.61,1,1,84.38
Plot Area,Ready To Move,Chennai,4 BHK,Palm Meadows,1151.09,1,3,358.85
Super built-up Area,Under Construction,Mumbai,2 BHK,Dream Homes,875.12,4,0,405.06
Plot Area,Immediate Possession,Ahmedabad,4 BHK,Green Heights,4719.64,2,1,464.36
Super built-up Area,Ready To Move,Ahmedabad,3 BHK,Green Heights,4799.05,1,1,112.0
Plot Area,Ready To Move,Pune,1 RK,Sunrise Residency,4676.43,3,0,267.12
Plot Area,Immediate Possession,Ahmedabad,2 RK,Skyline View,2346.3,1,3,202.46
Plot Area,Immediate Possession,Bangalore,2 RK,Palm Meadows,1543.28,4,3,330.27
Super built-up Area,Under Construction,Delhi,1 BHK,Sunrise Residency,2168.88,2,2,46.67
Built-up Area,Ready To Move,Mumbai,1 RK,Palm Meadows,1884.89,4,2,205.9
Built-up Area,Under Construction,Delhi,1 RK,Oceanic Towers,3355.03,1,2,351.85
Plot Area,Ready To Move,Kolkata,4 BHK,Green Heights,3492.79,4,1,308.89
Built-up Area,Under Construction,Kolkata,1 BHK,Skyline View,1187.17,4,1,137.41
Plot Area,Immediate Possession,Pune,2 BHK,Skyline View,2657.81,1,2,324.43
Carpet Area,Ready To Move,Kolkata,1 BHK,Oceanic Towers,4689.54,1,1,15.06
Plot Area,Immediate Possession,Hyderabad,3 BHK,Luxury Enclave,634.47,3,1,258.65
Built-up Area,Immediate Possession,Kolkata,1 RK,Dream Homes,3346.47,1,2,12.74
Plot Area,Under Construction,Ahmedabad,3 BHK,Dream Homes,2679.6,4,0,331.72
Plot Area,Under Construction,Mumbai,2 RK,Luxury Enclave,694.48,4,0,331.79
Super built-up Area,Immediate Possession,Pune,2 RK,Oceanic Towers,4587.12,2,3,26.74
Plot Area,Under Construction,Hyderabad,2 BHK,Sunrise Residency,2884.47,2,0,412.48
Plot Area,Ready To Move,Mumbai,2 RK,Dream Homes,493.68,3,0,63.2
Built-up Area,Immediate Possession,Bangalore,4 BHK,Luxury Enclave,3417.4,1,0,204.5
Plot Area,Immediate Possession,Ahmedabad,2 BHK,Green Heights,2636.36,1,2,250.24
Super built-up Area,Immediate Possession,Chennai,2 BHK,Sunrise Residency,4225.13,1,0,259.58
Carpet Area,Under Construction,Mumbai,1 BHK,Palm Meadows,1083.79,3,2,357.37
Built-up Area,Under Construction,Mumbai,1 RK,Palm Meadows,3505.64,2,3,418.36
Built-up Area,Under Construction,Hyderabad,4 BHK,Green Heights,1805.06,1,2,239.6
Plot Area,Under Construction,Kolkata,3 BHK,Skyline View,1342.41,4,3,294.75
Plot Area,Under Construction,Kolkata,1 BHK,Oceanic Towers,2210.34,1,2,62.0
Plot Area,Immediate Possession,Pune,1 BHK,Oceanic Towers,4731.35,3,2,112.18
Plot Area,Under Construction,Hyderabad,2 BHK,Sunrise Residency,2102.53,4,1,11.49
Plot Area,Under Construction,Chennai,4 BHK,Dream Homes,1636.59,1,1,91.79
Super built-up Area,Ready To Move,Delhi,1 RK,Palm Meadows,3536.21,3,2,297.17
Built-up Area,Under Construction,Kolkata,1 BHK,Green Heights,3484.67,4,0,402.44
Built-up Area,Ready To Move,Hyderabad,1 BHK,Green Heights,1830.01,4,2,389.01
Plot Area,Under Construction,Chennai,1 BHK,Palm Meadows,3159.19,1,0,42.35
Built-up Area,Immediate Possession,Mumbai,1 RK,Dream Homes,1462.48,4,0,358.59
Carpet Area,Under Construction,Hyderabad,4 BHK,Green Heights,2486.29,4,1,41.83
Plot Area,Under Construction,Hyderabad,1 BHK,Luxury Enclave,2308.55,2,2,92.99
Super built-up Area,Immediate Possession,Mumbai,2 BHK,Oceanic Towers,3250.87,2,3,31.63
Built-up Area,Ready To Move,Hyderabad,2 BHK,Oceanic Towers,360.55,4,1,477.28
Plot Area,Immediate Possession,Delhi,2 BHK,Skyline View,4008.49,3,0,105.47
Plot Area,Ready To Move,Hyderabad,2 BHK,Oceanic Towers,1851.31,1,2,284.89
Carpet Area,Under Construction,Delhi,2 RK,Green Heights,682.73,4,2,331.48
Built-up Area,Ready To Move,Hyderabad,3 BHK,Palm Meadows,3247.88,3,1,407.28
Built-up Area,Immediate Possession,Ahmedabad,1 BHK,Green Heights,2945.2,1,0,73.49
Carpet Area,Under Construction,Ahmedabad,4 BHK,Skyline View,3415.66,1,3,336.11
Built-up Area,Ready To Move,Delhi,4 BHK,Dream Homes,2502.9,2,3,462.11
Super built-up Area,Ready To Move,Delhi,1 RK,Sunrise Residency,4760.35,2,0,41.45
Carpet Area,Immediate Possession,Ahmedabad,2 RK,Luxury Enclave,2964.77,1,0,71.47
Super built-up Area,Ready To Move,Delhi,1 BHK,Oceanic Towers,4087.35,3,3,52.33
Super built-up Area,Immediate Possession,Mumbai,2 BHK,Oceanic Towers,1290.13,1,2,405.01
Plot Area,Immediate Possession,Ahmedabad,4 BHK,Luxury Enclave,4275.55,2,3,220.0
Super built-up Area,Under Construction,Ahmedabad,2 BHK,Green Heights,4772.53,1,2,61.73
Plot Area,Immediate Possession,Ahmedabad,2 BHK,Luxury Enclave,1907.67,3,0,122.11
Carpet Area,Immediate Possession,Bangalore,3 BHK,Skyline View,3675.9,2,2,76.38
Plot Area,Immediate Possession,Delhi,3 BHK,Dream Homes,2346.78,2,1,48.14
Plot Area,Under Construction,Kolkata,1 BHK,Palm Meadows,4689.26,2,1,310.27
Carpet Area,Ready To Move,Ahmedabad,2 RK,Oceanic Towers,1292.81,2,1,260.46
Built-up Area,Ready To Move,Kolkata,1 BHK,Sunrise Residency,4275.13,2,1,301.12
Built-up Area,Under Construction,Ahmedabad,2 BHK,Palm Meadows,4187.73,2,1,45.03
Super built-up Area,Under Construction,Hyderabad,2 RK,Dream Homes,2058.43,4,0,319.56
Carpet Area,Under Construction,Delhi,1 RK,Green Heights,2915.89,4,3,431.21
Carpet Area,Immediate Possession,Delhi,3 BHK,Dream Homes,1255.6,3,2,209.47
Built-up Area,Under Construction,Chennai,1 BHK,Dream Homes,4156.47,1,1,134.51
Built-up Area,Under Construction,Bangalore,1 RK,Luxury Enclave,1048.92,2,2,378.72
Plot Area,Under Construction,Delhi,1 BHK,Palm Meadows,524.19,4,1,105.23
Super built-up Area,Under Construction,Pune,4 BHK,Oceanic Towers,531.49,3,3,416.89
Plot Area,Immediate Possession,Bangalore,4 BHK,Palm Meadows,637.17,2,3,53.76
Plot Area,Ready To Move,Mumbai,1 RK,Green Heights,814.41,1,3,153.09
Built-up Area,Immediate Possession,Ahmedabad,1 BHK,Luxury Enclave,3981.59,4,2,328.87
Plot Area,Immediate Possession,Delhi,1 RK,Dream Homes,4948.87,2,1,474.85
Plot Area,Ready To Move,Pune,2 BHK,Sunrise Residency,805.0,4,0,457.93
Super built-up Area,Immediate Possession,Pune,4 BHK,Palm Meadows,720.38,2,2,63.47
Built-up Area,Ready To Move,Chennai,1 BHK,Green Heights,3557.96,2,0,354.09
Plot Area,Ready To Move,Chennai,4 BHK,Green Heights,730.42,3,3,266.08
Super built-up Area,Immediate Possession,Chennai,3 BHK,Palm Meadows,1215.1,2,3,71.99
Super built-up Area,Immediate Possession,Bangalore,1 BHK,Dream Homes,3421.24,3,0,207.44
Super built-up Area,Ready To Move,Bangalore,4 BHK,Oceanic Towers,472.86,2,2,345.29
Built-up Area,Ready To Move,Mumbai,1 RK,Dream Homes,2667.05,2,3,391.57
Plot Area,Under Construction,Kolkata,2 RK,Skyline View,3160.62,3,2,35.51
Carpet Area,Under Construction,Chennai,2 BHK,Oceanic Towers,453.81,1,2,444.77
Carpet Area,Under Construction,Hyderabad,1 RK,Palm Meadows,790.75,3,1,498.09
Built-up Area,Under Construction,Bangalore,2 RK,Dream Homes,4015.32,3,3,427.93
Super built-up Area,Under Construction,Pune,4 BHK,Sunrise Residency,2329.97,4,2,253.33
Carpet Area,Immediate Possession,Kolkata,4 BHK,Palm Meadows,1709.37,2,2,298.25
Carpet Area,Ready To Move,Pune,2 RK,Skyline View,3563.47,2,1,414.68
Built-up Area,Immediate Possession,Ahmedabad,2 BHK,Palm Meadows,2300.83,2,1,351.08
Built-up Area,Ready To Move,Hyderabad,1 RK,Oceanic Towers,1071.09,3,0,349.63
Super built-up Area,Under Construction,Chennai,4 BHK,Oceanic Towers,4799.22,2,2,372.53
Carpet Area,Under Construction,Mumbai,1 BHK,Dream Homes,4928.83,2,0,483.3
Super built-up Area,Under Construction,Bangalore,4 BHK,Skyline View,2122.12,3,1,285.06
Carpet Area,Under Construction,Delhi,1 RK,Green Heights,3328.1,2,0,208.44
Carpet Area,Immediate Possession,Mumbai,1 BHK,Green Heights,431.96,2,1,461.82
Super built-up Area,Immediate Possession,Hyderabad,3 BHK,Oceanic Towers,3208.99,1,1,359.86
Plot Area,Ready To Move,Mumbai,1 BHK,Green Heights,2326.25,3,3,57.29
Plot Area,Immediate Possession,Mumbai,1 BHK,Sunrise Residency,897.1,4,0,195.17
Super built-up Area,Ready To Move,Bangalore,2 BHK,Green Heights,2552.66,1,0,151.15
Super built-up Area,Ready To Move,Ahmedabad,2 BHK,Skyline View,1842.62,3,0,246.23
Super built-up Area,Under Construction,Chennai,1 RK,Sunrise Residency,1317.04,2,3,317.64
Built-up Area,Immediate Possession,Pune,1 RK,Dream Homes,1916.98,1,2,369.39
Super built-up Area,Ready To Move,Mumbai,1 BHK,Skyline View,3030.07,1,2,71.9
Carpet Area,Ready To Move,Chennai,2 RK,Dream Homes,2727.04,4,0,388.48
Super built-up Area,Ready To Move,Kolkata,1 BHK,Green Heights,2636.76,1,3,483.17
Super built-up Area,Immediate Possession,Bangalore,2 BHK,Luxury Enclave,380.69,4,0,89.6
Plot Area,Ready To Move,Pune,1 BHK,Oceanic Towers,1584.04,4,1,321.91
Plot Area,Under Construction,Pune,2 RK,Oceanic Towers,3684.02,3,1,42.96
Carpet Area,Immediate Possession,Hyderabad,2 RK,Oceanic Towers,895.11,1,2,437.12
Plot Area,Immediate Possession,Mumbai,1 RK,Skyline View,1667.81,1,2,472.87
Super built-up Area,Immediate Possession,Ahmedabad,1 RK,Sunrise Residency,2793.57,4,3,198.71
Carpet Area,Under Construction,Delhi,2 RK,Green Heights,2308.74,4,1,129.82
Plot Area,Ready To Move,Kolkata,4 BHK,Dream Homes,1229.72,1,2,305.93
Super built-up Area,Under Construction,Ahmedabad,2 BHK,Luxury Enclave,2100.69,2,0,159.81
Built-up Area,Immediate Possession,Ahmedabad,2 BHK,Oceanic Towers,3642.21,4,3,449.58
Plot Area,Under Construction,Chennai,3 BHK,Dream Homes,3852.03,4,1,65.38
Plot Area,Under Construction,Chennai,2 BHK,Sunrise Residency,4260.29,2,2,12.08
Plot Area,Immediate Possession,Ahmedabad,1 RK,Skyline View,3070.71,3,0,236.84
Built-up Area,Under Construction,Delhi,2 BHK,Luxury Enclave,1264.36,2,3,353.42
Super built-up Area,Immediate Possession,Kolkata,2 BHK,Sunrise Residency,3949.42,4,3,465.85
Built-up Area,Ready To Move,Bangalore,4 BHK,Oceanic Towers,619.44,3,1,190.22
Built-up Area,Ready To Move,Pune,2 BHK,Sunrise Residency,3547.24,2,3,236.81
Plot Area,Under Construction,Hyderabad,4 BHK,Luxury Enclave,3731.2,3,0,441.55
Super built-up Area,Immediate Possession,Kolkata,2 BHK,Luxury Enclave,2199.42,1,0,266.72
Super built-up Area,Ready To Move,Chennai,2 RK,Dream Homes,1791.76,3,3,272.82
Super built-up Area,Immediate Possession,Hyderabad,1 RK,Oceanic Towers,3021.61,1,1,104.49
Plot Area,Ready To Move,Kolkata,3 BHK,Skyline View,1746.81,3,2,62.16
Built-up Area,Immediate Possession,Hyderabad,2 RK,Oceanic Towers,838.97,3,2,433.54
Plot Area,Ready To Move,Kolkata,2 RK,Luxury Enclave,2279.73,2,1,18.1
Plot Area,Immediate Possession,Pune,1 BHK,Skyline View,702.96,2,3,305.26
Plot Area,Ready To Move,Delhi,3 BHK,Dream Homes,3566.26,2,3,159.3
Plot Area,Under Construction,Chennai,2 RK,Green Heights,2572.39,1,3,291.13
Plot Area,Under Construction,Ahmedabad,4 BHK,Dream Homes,3114.12,1,2,480.53
Super built-up Area,Under Construction,Pune,2 BHK,Green Heights,4996.99,4,0,227.17
Built-up Area,Under Construction,Delhi,3 BHK,Oceanic Towers,3375.42,4,2,17.97
Plot Area,Ready To Move,Pune,3 BHK,Sunrise Residency,327.68,1,1,376.33
Built-up Area,Ready To Move,Bangalore,1 RK,Skyline View,3403.15,3,3,451.28
Super built-up Area,Immediate Possession,Mumbai,3 BHK,Sunrise Residency,1370.24,1,3,339.88
Carpet Area,Immediate Possession,Ahmedabad,1 RK,Green Heights,3277.43,4,0,164.88
Carpet Area,Ready To Move,Ahmedabad,4 BHK,Luxury Enclave,2270.63,1,2,285.62
Plot Area,Immediate Possession,Hyderabad,1 RK,Sunrise Residency,4267.41,2,2,328.28
Carpet Area,Under Construction,Mumbai,1 BHK,Oceanic Towers,2893.89,3,1,455.56
Plot Area,Under Construction,Ahmedabad,1 BHK,Dream Homes,1999.67,4,3,123.21
Carpet Area,Ready To Move,Mumbai,2 RK,Green Heights,3377.96,3,0,243.61
Plot Area,Ready To Move,Delhi,1 RK,Dream Homes,1202.59,2,1,368.61
Built-up Area,Immediate Possession,Kolkata,3 BHK,Luxury Enclave,4183.08,4,0,37.06
Super built-up Area,Under Construction,Pune,3 BHK,Palm Meadows,3783.18,3,3,306.45
Carpet Area,Immediate Possession,Delhi,1 RK,Skyline View,4986.58,2,3,277.89
Super built-up Area,Ready To Move,Bangalore,2 BHK,Dream Homes,3211.75,4,2,191.92
Built-up Area,Ready To Move,Kolkata,4 BHK,Oceanic Towers,2873.66,2,3,389.59
Plot Area,Under Construction,Ahmedabad,1 RK,Oceanic Towers,4487.89,1,3,230.07
Plot Area,Under Construction,Hyderabad,4 BHK,Skyline View,1456.39,4,0,175.79
Built-up Area,Under Construction,Bangalore,2 BHK,Oceanic Towers,4924.85,3,1,156.5
Plot Area,Immediate Possession,Bangalore,4 BHK,Luxury Enclave,1348.01,4,1,435.32
Super built-up Area,Immediate Possession,Hyderabad,2 RK,Skyline View,2748.35,1,3,441.59
Carpet Area,Under Construction,Chennai,4 BHK,Oceanic Towers,4874.85,2,3,172.97
Plot Area,Under Construction,Delhi,2 RK,Dream Homes,1019.57,1,2,16.41
Carpet Area,Ready To Move,Ahmedabad,2 BHK,Oceanic Towers,982.8,2,2,274.03
Built-up Area,Ready To Move,Chennai,4 BHK,Green Heights,3544.35,2,1,269.16
Built-up Area,Immediate Possession,Mumbai,2 RK,Dream Homes,1232.02,3,1,451.44
Plot Area,Under Construction,Delhi,2 BHK,Sunrise Residency,3737.17,2,0,443.36
Built-up Area,Ready To Move,Mumbai,2 RK,Sunrise Residency,4767.82,4,2,141.8
Carpet Area,Immediate Possession,Bangalore,1 BHK,Dream Homes,3879.55,1,0,82.1
Carpet Area,Immediate Possession,Hyderabad,1 RK,Skyline View,902.21,1,0,293.09
Built-up Area,Ready To Move,Mumbai,3 BHK,Skyline View,1946.91,4,2,458.96
Carpet Area,Ready To Move,Ahmedabad,3 BHK,Skyline View,2358.31,4,1,133.18
Carpet Area,Under Construction,Hyderabad,1 BHK,Skyline View,4403.39,4,1,184.87
Built-up Area,Immediate Possession,Bangalore,4 BHK,Oceanic Towers,4870.28,3,1,463.28
Carpet Area,Under Construction,Mumbai,2 RK,Sunrise Residency,814.14,2,1,200.09
Plot Area,Under Construction,Ahmedabad,2 BHK,Palm Meadows,4501.79,1,0,15.94
Built-up Area,Ready To Move,Mumbai,2 BHK,Dream Homes,2901.82,4,0,408.71
Carpet Area,Ready To Move,Kolkata,3 BHK,Palm Meadows,2680.57,2,1,358.74
Super built-up Area,Immediate Possession,Pune,4 BHK,Luxury Enclave,3879.43,2,0,347.45
Carpet Area,Ready To Move,Pune,2 BHK,Green Heights,2184.01,1,1,174.56
Plot Area,Under Construction,Delhi,1 RK,Skyline View,1733.84,3,2,25.59
Carpet Area,Immediate Possession,Bangalore,1 BHK,Palm Meadows,2456.79,2,3,66.58
Plot Area,Under Construction,Delhi,1 BHK,Skyline View,4156.5,1,2,218.71
Carpet Area,Under Construction,Hyderabad,4 BHK,Luxury Enclave,4271.24,3,1,438.79
Carpet Area,Under Construction,Mumbai,3 BHK,Green Heights,1472.5,3,0,260.16
Plot Area,Ready To Move,Chennai,3 BHK,Oceanic Towers,4937.87,2,2,226.19
Super built-up Area,Ready To Move,Chennai,3 BHK,Green Heights,4742.59,4,1,233.9
Built-up Area,Immediate Possession,Ahmedabad,2 RK,Palm Meadows,4547.94,2,2,160.43
Carpet Area,Ready To Move,Mumbai,1 RK,Green Heights,3075.37,3,3,239.51
Carpet Area,Immediate Possession,Ahmedabad,2 RK,Sunrise Residency,947.59,4,2,269.31
Plot Area,Under Construction,Kolkata,1 RK,Sunrise Residency,2478.26,3,1,438.96
Super built-up Area,Immediate Possession,Ahmedabad,1 RK,Sunrise Residency,4973.41,3,2,227.85
Super built-up Area,Immediate Possession,Bangalore,2 RK,Oceanic Towers,878.1,2,3,476.34
Carpet Area,Ready To Move,Delhi,3 BHK,Green Heights,1112.78,2,0,148.26
Plot Area,Ready To Move,Bangalore,2 RK,Green Heights,2550.93,2,1,144.69
Built-up Area,Under Construction,Chennai,2 RK,Sunrise Residency,1645.16,1,3,195.51
Super built-up Area,Immediate Possession,Hyderabad,2 BHK,Green Heights,3126.55,4,3,255.91
Plot Area,Ready To Move,Pune,1 BHK,Palm Meadows,3500.15,4,2,461.08
Plot Area,Under Construction,Hyderabad,1 BHK,Oceanic Towers,2902.42,4,0,211.68
Super built-up Area,Immediate Possession,Mumbai,3 BHK,Luxury Enclave,947.63,4,3,285.35
Super built-up Area,Immediate Possession,Mumbai,1 BHK,Dream Homes,768.41,3,1,98.9
Built-up Area,Under Construction,Hyderabad,1 RK,Green Heights,4854.18,2,0,347.2
Plot Area,Under Construction,Hyderabad,4 BHK,Palm Meadows,1085.32,4,3,449.31
Built-up Area,Under Construction,Bangalore,4 BHK,Luxury Enclave,2039.3,1,0,137.67
Plot Area,Under Construction,Ahmedabad,2 RK,Luxury Enclave,4735.42,2,2,44.35
Plot Area,Under Construction,Chennai,2 RK,Green Heights,2696.46,3,3,413.38
Built-up Area,Ready To Move,Mumbai,4 BHK,Sunrise Residency,2838.6,2,1,181.54
Built-up Area,Under Construction,Chennai,1 BHK,Green Heights,4861.05,1,2,210.37
Built-up Area,Immediate Possession,Delhi,2 BHK,Dream Homes,2232.35,1,1,416.74
Carpet Area,Ready To Move,Kolkata,1 BHK,Oceanic Towers,2152.91,4,2,466.64
Carpet Area,Immediate Possession,Hyderabad,2 RK,Palm Meadows,3252.87,3,3,85.71
Built-up Area,Immediate Possession,Hyderabad,1 RK,Sunrise Residency,4054.14,3,2,325.68
Plot Area,Under Construction,Hyderabad,4 BHK,Oceanic Towers,3597.64,2,0,58.47
Super built-up Area,Under Construction,Ahmedabad,1 RK,Palm Meadows,4505.9,4,2,40.2
Plot Area,Immediate Possession,Hyderabad,2 RK,Dream Homes,4639.44,1,0,323.66
Super built-up Area,Immediate Possession,Kolkata,1 RK,Oceanic Towers,4358.2,1,1,451.55
Plot Area,Ready To Move,Hyderabad,3 BHK,Luxury Enclave,4207.41,2,3,219.48
Plot Area,Ready To Move,Delhi,2 RK,Luxury Enclave,653.15,4,3,474.54
Super built-up Area,Ready To Move,Mumbai,1 BHK,Dream Homes,3727.32,3,2,262.79
Plot Area,Ready To Move,Hyderabad,3 BHK,Oceanic Towers,2628.43,2,2,489.08
Plot Area,Ready To Move,Delhi,3 BHK,Luxury Enclave,2444.89,1,0,11.8
Plot Area,Under Construction,Kolkata,2 RK,Skyline View,3114.27,2,1,230.0
Built-up Area,Ready To Move,Hyderabad,2 BHK,Palm Meadows,506.96,4,1,119.01
